1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;1.14;1.14;0;1.14;0;0;0;0;0;1.14;0;0;0;0;0;0
0;0;0;0;0;1.14;2.27;0;1.14;2.27;0;0;0;1.14;1.14;0;0;0;0;0;0
0;0;0;0;0;2.27;2.27;0;0;0;0;1.14;1.14;1.14;2.27;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1.14;1.14;1.14;1.14;0;0;1.14;0;0;0;0;0;0
0;0;0;0;0;2.27;1.14;2.27;0;1.14;1.14;0;0;0;1.14;0;0;0;0;0;0
0;0;0;0;0;1.14;3.41;1.14;2.27;1.14;1.14;1.14;3.41;0;0;0;0;0;0;0;0
0;0;0;0;0;1.14;0;1.14;0;2.27;3.41;1.14;0;0;1.14;0;0;0;0;0;0
0;0;0;0;0;0;1.14;0;1.14;1.14;0;1.14;1.14;1.14;1.14;0;0;0;0;0;0
0;0;0;0;0;1.14;1.14;0;0;1.14;2.27;0;1.14;1.14;2.27;0;0;0;0;0;0
0;0;0;0;0;2.27;2.27;1.14;0;4.55;0;2.27;1.14;1.14;2.27;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0